sched_enter_ini,mem_alloc_ini_1MB,mem_alloc_ini_100MB,mem_alloc_ini_500MB,mem_alloc_ini_500,mem_read_write_1kB_ini,mem_read_write_10K_ini,mem_read_write_1MB_ini,mem_read_write_500MB_ini,mem_read_write_100MB_ini,disk_tx_speed_100MB_ini,disk_tx_speed_10MB_ini,disk_rx_speed_100_in,disk_rx_speed_10_in,net_tx_speed_in,net_rx_speed_ini,cpu,mem,disk_tx,disk_rx,net_tx,net_rx,sched_enter_ini_n,mem_alloc_ini_1MB_n,mem_alloc_ini_100MB_n,mem_alloc_ini_500MB_n,mem_alloc_ini_500_n,mem_read_write_1kB_ini_n,mem_read_write_10K_ini_n,mem_read_write_1MB_ini_n,mem_read_write_500MB_ini_n,mem_read_write_100MB_ini_n,disk_tx_speed_100MB_ini_n,disk_tx_speed_10MB_ini_n,disk_rx_speed_100_in_n,disk_rx_speed_10_in_n,net_tx_speed_in_n,net_rx_speed_ini_n,cpu_n,mem_n,disk_tx_n,disk_rx_n,net_tx_n,net_rx_n
0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.6170304637,4252748,0,0,666167,18354806,0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.6170304637,4252748,0,0,666167,18354806
0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.63729136801,4252980,0,1777664,719393,19836059,0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.63729136801,4252980,0,1777664,719393,19836059
0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.61932227072,4252892,0,0,665549,18284273,0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.61932227072,4252892,0,0,665549,18284273
0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.61446313518,4253116,0,0,660603,18331066,0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.61446313518,4253116,0,0,660603,18331066
0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.61648542642,4253120,0,0,696698,19142458,0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.61648542642,4253120,0,0,696698,19142458
0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.60714455405,4253272,0,0,678869,18545930,0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.60714455405,4253272,0,0,678869,18545930
0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.62621681734,4254272,0,20480,690728,18435584,0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.62621681734,4254272,0,20480,690728,18435584
0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.62000658966,4253548,0,0,666132,18113758,0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.62000658966,4253548,0,0,666132,18113758
0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.61201321145,4253572,0,0,666357,18088376,0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.61201321145,4253572,0,0,666357,18088376
0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.61518647621,4254924,0,0,680408,18401763,0.000358338,0.0002,0.00174,0.066,0.5515,0.00005,0.00055,0.02860,46.5531,7.23101,0.5111,0.073,37.123,2.096,882,866,1.61518647621,4254924,0,0,680408,18401763
